Ref,Sub Ref,Temperature (K),Type Alcohol,FAME/FAEE_F,GLYCEROL_F,ALCOHOL_F,OIL_F,DAG_F,MAG_F,ACID_F,WATER_F,FAME/FAEE_L,GLYCEROL_L,ALCOHOL_L,OIL_L,DAG_L,MAG_L,ACID_L,WATER_L,FAME/FAEE_H,GLYCEROL_H,ALCOHOL_H,OIL_H,DAG_H,MAG_H,ACID_H,WATER_H,Reconcile phi,Type Alcohol_right,MW_FAME/FAEE,MW_Oil,MW_DAG,MW_MAG,MW_FA
1,a,298.15,1,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.8814608883396118,0.01099489973874146,0.1068267211508044,0.0,0.0,0.0,0.0,0.0,0.00001000000000000015,0.7231792110675984,0.2774068687810036,0.0,0.0,0.0,0.0,0.0,0.4537859173906567,1,324.139908717946,968.4197261538378,659.2798174358919,350.139908717946,296.139908717946
1,a,298.15,1,0.385,0.385,0.23,0.0,0.0,0.0,0.0,0.0,0.8564018933544615,0.02815843498635501,0.1155676721239739,0.0,0.0,0.0,0.0,0.0,0.002265853579351809,0.6747218991231553,0.3229083229193274,0.0,0.0,0.0,0.0,0.0,0.4480950675274403,1,324.139908717946,968.4197261538378,659.2798174358919,350.139908717946,296.139908717946
2,a,293.15,2,0.4431,0.4379999999999999,0.1189,0.0,0.0,0.0,0.0,0.0,0.8953775293498777,0.0245035065747057,0.0801385669600786,0.0,0.0,0.0,0.0,0.0,0.02663866396880148,0.818751399132406,0.15459188638112,0.0,0.0,0.0,0.0,0.0,0.4793860993527853,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
2,a,293.15,2,0.4176,0.4162,0.1662,0.0,0.0,0.0,0.0,0.0,0.8737311120184087,0.02373931747805478,0.1023091339528686,0.0,0.0,0.0,0.0,0.0,0.02547366774215348,0.7535902019350318,0.2211256349933611,0.0,0.0,0.0,0.0,0.0,0.4622727862912114,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
2,a,293.15,2,0.3711,0.3734,0.2555,0.0,0.0,0.0,0.0,0.0,0.8396936199206527,0.02280062309099098,0.1369750458465846,0.0,0.0,0.0,0.0,0.0,0.02245982629095727,0.6342508150165101,0.3436842151668651,0.0,0.0,0.0,0.0,0.0,0.4266100795472224,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
2,a,313.15,2,0.4637,0.4711,0.0652,0.0,0.0,0.0,0.0,0.0,0.9354448678745545,0.02153314371067532,0.04304499604491031,0.0,0.0,0.0,0.0,0.0,0.02801594835886679,0.8863013572806588,0.08566144546472437,0.0,0.0,0.0,0.0,0.0,0.4801302253775053,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
2,a,313.15,2,0.4385,0.4444,0.1171,0.0,0.0,0.0,0.0,0.0,0.905456648212111,0.02109830162244834,0.0733032909171596,0.0,0.0,0.0,0.0,0.0,0.02841278880838839,0.8161488842807326,0.1555628216686059,0.0,0.0,0.0,0.0,0.0,0.467578909303827,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
2,a,313.15,2,0.4158,0.4187,0.1655,0.0,0.0,0.0,0.0,0.0,0.8818867843571657,0.02256147749748596,0.09552148722174723,0.0,0.0,0.0,0.0,0.0,0.02990796213110334,0.7466790520937105,0.2234380317343242,0.0,0.0,0.0,0.0,0.0,0.4529361855035697,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
2,a,313.15,2,0.39,0.3901,0.2199,0.0,0.0,0.0,0.0,0.0,0.8463597492156842,0.02076282934573023,0.132922197432821,0.0,0.0,0.0,0.0,0.0,0.0287473178301631,0.682465932256692,0.2887513054024442,0.0,0.0,0.0,0.0,0.0,0.441838539022285,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
2,a,313.15,2,0.3617,0.3669,0.2714,0.0,0.0,0.0,0.0,0.0,0.8242101887527663,0.02144995633019076,0.1543627558766972,0.0,0.0,0.0,0.0,0.0,0.03049664765993181,0.6142766315029735,0.3552103214694836,0.0,0.0,0.0,0.0,0.0,0.4172832327946008,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
2,a,333.15,2,0.4147,0.4175,0.1678,0.0,0.0,0.0,0.0,0.0,0.8836785761754921,0.02171755619761568,0.09450964297136427,0.0,0.0,0.0,0.0,0.0,0.04547160565320053,0.7291008356448319,0.2255017420869576,0.0,0.0,0.0,0.0,0.0,0.4404978809908144,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
2,a,333.15,2,0.3889,0.3921,0.219,0.0,0.0,0.0,0.0,0.0,0.8622636371240138,0.01819924375428418,0.1196304885402565,0.0,0.0,0.0,0.0,0.0,0.0432106154149094,0.6651533403617125,0.2915678581306836,0.0,0.0,0.0,0.0,0.0,0.4220598366925579,2,315.9536192067479,901.8608576202437,614.9072384134959,327.9536192067479,273.9536192067479
