Systems,Temperature (K),K_FAME/FAEE,K_GLYCEROL,K_ALCOHOL,K_OIL,K_DAG,K_MAG,K_ACID,K_WATER
Castor oil biodiesel - Ethanol - Water,298.2,1.197164563616784,0.0,0.14866232316068104,0.0,0.0,0.0,0.0,0.2960953633889954
Triolein - Ethanol - Oleic acid,293.15,0.0,0.0,0.20295369602002936,0.3326351233650697,0.0,0.0,0.054200106254708724,0.0
Oleic oil biodiesel - Methanol - Glycerol,318.15,1.2400997806408909,0.5665085697519738,0.049428102928108356,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Ethanol - Water,303.2,1.6209079568180491,0.0,0.09093765200864255,0.0,0.0,0.0,0.0,1.0717264416386278
Soybean oil biodiesel - Methanol - Glycerol,298.15,0.20623315163982522,0.45813891362941633,0.10585756923585792,0.0,0.0,0.0,0.0,0.0
Crambe oil biodiesel - Ethanol - Water,298.2,1.3202075033410128,0.0,0.432577697564337,0.0,0.0,0.0,0.0,0.5197909049175986
Refined Soybean oil - Linoleic acid - Ethanol - Water,323.15,0.0,0.0,0.40390556389823273,1.1345267868380335,0.0,0.0,0.25217831476719105,1.421101111711015
Oleic oil biodiesel - Ethanol - Glycerol,323.15,0.6679342570934639,0.27468259416728996,0.05876522894692749,0.0,0.0,0.0,0.0,0.0
Refined soybean oil biodiesel - DAG - MAG - Ethanol,318.2,,,,,,,,
Olive oil - Capric acid - DAG - MAG - Ethanol,303.2,,,,,,,,
10 % Beef Tallow/Sunflower oil biodiesel - Methanol - Glycerol,298.15,0.5919959149421025,0.2286978094969368,0.02408839764468439,0.0,0.0,0.0,0.0,0.0
Cottonseed oil biodiesel - Ethanol - Glycerol,293.15,0.020673094643294823,0.03355824289257372,0.04761615214742678,0.0,0.0,0.0,0.0,0.0
Jatropha oil biodiesel - Methanol - Glycerol,333.15,0.8795708792283872,0.12604074653398728,0.008176211866531736,0.0,0.0,0.0,0.0,0.0
Pretreated cottonseed oil - Ethanol - Linoelic acid - Water,298.15,0.0,0.0,0.5770710350875934,0.8581680579150637,0.0,0.0,0.04639336708317294,0.46387608150723947
Corn oil biodiesel - Methanol - Glycerol,313.15,0.30341466211054435,0.08236859488821585,0.053783365819954236,0.0,0.0,0.0,0.0,0.0
