Systems,Temperature (K),K_FAME/FAEE,K_GLYCEROL,K_ALCOHOL,K_OIL,K_DAG,K_MAG,K_ACID,K_WATER
Olive oil - Capric acid - DAG - MAG - Ethanol,303.2,0.0,0.0,-0.6782391161426823,0.9365287809348689,0.1465501946882408,0.0,-0.38370297531599884,0.0
,315.15,-2.0784472450260587,1.6900669888408213,0.22877731891823821,0.0,0.0,0.0,0.0,1.4721683214784036
Rice bran oil - Ethanol - Free Fatty Acids - Water,283.15,0.0,0.0,1.0682185762791472,-1.7742206848782707,0.0,0.0,-0.2355752111268583,1.6310563768762378
Rice bran oil - Ethanol - Free Fatty Acids - Water,308.15,0.0,0.0,1.0546804879639191,-2.1993085526033544,0.0,0.0,-0.3911899255195179,1.828684588271198
Jatropha oil biodiesel - Methanol - Glycerol,298.15,-1.3165220710679155,1.9460716648030614,0.431858925188399,0.0,0.0,0.0,0.0,0.0
Canola oil - Oleic acid - Methanol/Ethanol/Propanol,303.15,0.0,0.0,-0.6297211582512698,1.0084591968076189,0.0,0.0,-0.03354345548007923,0.09078109663172622
Soybean oil - Oleic acid - Ethanol - Water,303.15,0.0,0.0,0.9205098921549343,-1.8152779715679705,0.0,0.0,-0.1576374226854892,2.722775737006937
Soybean oil biodiesel - Ethanol - Glycerol,333.15,-1.8570112696383592,1.3811047808259729,0.3366547047138895,0.0,0.0,0.0,0.0,0.0
Soybean oil biodiesel - Ethanol - Glycerol,300.15,-1.9201561009621555,2.495464661405247,0.47044088946286583,0.0,0.0,0.0,0.0,0.0
Castor oil biodiesel - Ethanol - Glycerol,333.15,-1.907038641934899,1.0397582068109685,0.02108502225365728,0.0,0.0,0.0,0.0,0.0
Refined sunflower oil biodiesel - Methanol - Glycerol - Water,298.15,-1.7192767789719305,1.9957036633918235,0.9249592152143009,0.0,0.0,0.0,0.0,1.5374582721046748
Jatropha oil biodiesel - Methanol - Glycerol,308.15,-1.1297365827188717,1.4895940069306863,0.39404566921455464,0.0,0.0,0.0,0.0,0.0
Waste fish oil biodiesel - Methanol - Glycerol,298.15,-1.6315883859321807,3.0391215560496603,0.8897778003570558,0.0,0.0,0.0,0.0,0.0
Frying oil biodiesel - Methanol - Glycerol,313.15,-2.76535970657132,1.807838306787349,0.7713317089645766,0.0,0.0,0.0,0.0,0.0
Crude grape seed oil - Oleic acid - Ethanol - Water,290.15,0.0,0.0,0.4058872416940275,-0.7670670650919522,0.0,0.0,-0.004936143500022259,0.9071492464264799
,333.15,-2.8127857687283946,4.656332792645822,0.3005839267440264,0.0,0.0,0.0,0.0,1.0155461055931165
Refined cottonseed oil biodiesel - DAG - MAG - Ethanol,318.2,0.0,0.0,-0.3098697520285383,0.4188286159309603,0.06555196579930236,-0.17803070592383236,0.0,0.0
Linseed oil biodiesel - Methanol - Glycerol,330.0,-1.566498383602508,1.967714716145333,0.8022244247217213,0.0,0.0,0.0,0.0,0.0
Babassu oil - Ethanol - Water,308.2,0.0,0.0,0.701305919841042,-0.9819171968702742,0.0,0.0,0.0,1.7138296898959988
Oleic oil biodiesel - Methanol - Glycerol,298.15,-3.002254904263883,3.400592851561398,0.548158225411737,0.0,0.0,0.0,0.0,0.0
Babassu oil - Lauric acid - Ethanol - Water,303.2,0.0,0.0,0.655235505161774,-1.5166913157152437,0.0,0.0,-0.03770312648075917,1.1241329896392922
Soybean oil biodiesel - Ethanol - Glycerol,323.15,-1.55309303876425,1.4906229893451655,0.5040820570442672,0.0,0.0,0.0,0.0,0.0
Sunflower oil biodiesel - Methanol - Glycerol,308.15,-1.998233856737873,1.957638303008841,0.8094254092508917,0.0,0.0,0.0,0.0,0.0
Crambe oil biodiesel - Ethanol - Water,298.2,-3.0389374866047643,0.0,0.843701048009005,0.0,0.0,0.0,0.0,1.8329086080059989
Oleic oil biodiesel - Methanol - Glycerol,308.15,-3.317157713915884,2.452106055120446,0.5942050920233316,0.0,0.0,0.0,0.0,0.0
Sunflower oil biodiesel - Ethanol - Glycerol,313.15,-1.5686681310491737,1.597767889444072,0.4766330749962358,0.0,0.0,0.0,0.0,0.0
