,Ref,Sub Ref,Temperature (K),Type Alcohol,FAME/FAEE_F,GLYCEROL_F,ALCOHOL_F,OIL_F,DAG_F,MAG_F,ACID_F,WATER_F,FAME/FAEE_L,GLYCEROL_L,ALCOHOL_L,OIL_L,DAG_L,MAG_L,ACID_L,WATER_L,FAME/FAEE_H,GLYCEROL_H,ALCOHOL_H,OIL_H,DAG_H,MAG_H,ACID_H,WATER_H,R2_othmer_tobias,a_othmer_tobias,b_othmer_tobias
16,2,a,313.15,2,0.39,0.3901,0.21989999999999998,0.0,0.0,0.0,0.0,0.0,0.8454999999999999,0.0187,0.1358,0.0,0.0,0.0,0.0,0.0,0.027999999999999997,0.6795,0.2925,0.0,0.0,0.0,0.0,0.0,0.9434288945567024,-1.3613745348701107,0.5568705074664843
17,2,a,313.15,2,0.3617,0.3669,0.27140000000000003,0.0,0.0,0.0,0.0,0.0,0.823,0.018500000000000003,0.1585,0.0,0.0,0.0,0.0,0.0,0.028900000000000002,0.6101,0.361,0.0,0.0,0.0,0.0,0.0,0.9434288945567024,-1.3613745348701107,0.5568705074664843
18,2,a,313.15,2,0.33520000000000005,0.34149999999999997,0.3233,0.0,0.0,0.0,0.0,0.0,0.8076000000000001,0.018600000000000002,0.17379999999999998,0.0,0.0,0.0,0.0,0.0,0.030299999999999997,0.5418,0.4279,0.0,0.0,0.0,0.0,0.0,0.9434288945567024,-1.3613745348701107,0.5568705074664843
19,2,a,333.15,2,0.46409999999999996,0.4702,0.06570000000000001,0.0,0.0,0.0,0.0,0.0,0.9301999999999999,0.0174,0.0524,0.0,0.0,0.0,0.0,0.0,0.032799999999999996,0.8732,0.094,0.0,0.0,0.0,0.0,0.0,0.9434288945567024,-1.3613745348701107,0.5568705074664843
20,2,a,333.15,2,0.4079,0.4702,0.1219,0.0,0.0,0.0,0.0,0.0,0.8996,0.015700000000000002,0.08470000000000001,0.0,0.0,0.0,0.0,0.0,0.037599999999999995,0.7966,0.16579999999999998,0.0,0.0,0.0,0.0,0.0,0.9434288945567024,-1.3613745348701107,0.5568705074664843
21,2,a,333.15,2,0.4147,0.4175,0.1678,0.0,0.0,0.0,0.0,0.0,0.8798,0.0148,0.1054,0.0,0.0,0.0,0.0,0.0,0.04019999999999999,0.7204999999999999,0.23929999999999998,0.0,0.0,0.0,0.0,0.0,0.9434288945567024,-1.3613745348701107,0.5568705074664843
22,2,a,333.15,2,0.3889,0.3921,0.21899999999999997,0.0,0.0,0.0,0.0,0.0,0.8601000000000001,0.013999999999999999,0.1259,0.0,0.0,0.0,0.0,0.0,0.0406,0.6592,0.3002,0.0,0.0,0.0,0.0,0.0,0.9434288945567024,-1.3613745348701107,0.5568705074664843
23,2,a,333.15,2,0.3593,0.3627,0.278,0.0,0.0,0.0,0.0,0.0,0.8245999999999999,0.0128,0.16260000000000002,0.0,0.0,0.0,0.0,0.0,0.0387,0.5794,0.38189999999999996,0.0,0.0,0.0,0.0,0.0,0.9434288945567024,-1.3613745348701107,0.5568705074664843
24,2,a,333.15,2,0.33380000000000004,0.3375,0.3287,0.0,0.0,0.0,0.0,0.0,0.7967,0.0123,0.191,0.0,0.0,0.0,0.0,0.0,0.0351,0.5183,0.44659999999999994,0.0,0.0,0.0,0.0,0.0,0.9434288945567024,-1.3613745348701107,0.5568705074664843
25,3,a,298.15,2,0.4069,0.1465,0.44659999999999994,0.0,0.0,0.0,0.0,0.0,0.7237,0.027200000000000002,0.2491,0.0,0.0,0.0,0.0,0.0,0.1,0.25989999999999996,0.6401,0.0,0.0,0.0,0.0,0.0,0.8802666871032021,-1.549794468085307,0.8378273855651925
